1,1,无,无,18800109775,2015-04-08 00:00:00,1,2,河南郑州,北京,5,0,50,0,2015-04-08 00:00:00,2015-04-09 00:00:00,1
2,1,无,无,13146515471,2015-04-10 00:00:00,1,1,广西南宁,上海,2,1,60,1,2015-04-10 00:00:00,2015-04-11 00:00:00,2
3,1,无,无,13146515472,2015-04-12 00:00:00,1,1,甘肃天水,北京,2,1,10,1,2015-04-12 00:00:00,2015-04-13 00:00:00,3
4,1,无,无,13146515473,2015-04-14 00:00:00,1,1,内蒙古扎兰屯,内蒙古,2,1,20,1,2015-04-14 00:00:00,2015-04-15 00:00:00,4
5,1,无,无,13146515474,2015-04-16 00:00:00,1,1,新疆阿勒泰,新疆,2,1,30,1,2015-04-16 00:00:00,2015-04-17 00:00:00,5
6,1,无,无,13146515475,2015-04-18 00:00:00,1,1,安徽合肥,合肥,2,1,40,1,2015-04-18 00:00:00,2015-04-19 00:00:00,6
7,1,无,无,13146515476,2015-04-20 00:00:00,1,1,湖南长沙,北京,2,1,60,1,2015-04-20 00:00:00,2015-04-21 00:00:00,7
8,1,无,无,13146515477,2015-04-22 00:00:00,1,1,湖北武汉,上海,2,1,70,1,2015-04-22 00:00:00,2015-04-23 00:00:00,8
9,1,无,无,13146515478,2015-04-24 00:00:00,1,1,广东广州,上海,2,1,30,1,2015-04-24 00:00:00,2015-04-25 00:00:00,9
10,1,无,无,13146515479,2015-04-26 00:00:00,1,1,福建厦门,上海,2,1,80,1,2015-04-26 00:00:00,2015-04-27 00:00:00,10
